location_name,location_id,ihme_loc_id,level,region_name,super_region_name
Pomorskie,53670,POL_53670,4,Central Europe,"Central Europe, Eastern Europe, and Central Asia"
Śląskie,53671,POL_53671,4,Central Europe,"Central Europe, Eastern Europe, and Central Asia"
Świętokrzyskie,53672,POL_53672,4,Central Europe,"Central Europe, Eastern Europe, and Central Asia"
Warmińsko-Mazurskie,53673,POL_53673,4,Central Europe,"Central Europe, Eastern Europe, and Central Asia"
Wielkopolskie,53674,POL_53674,4,Central Europe,"Central Europe, Eastern Europe, and Central Asia"
Zachodniopomorskie,53675,POL_53675,4,Central Europe,"Central Europe, Eastern Europe, and Central Asia"
Romania,52,ROU,3,Central Europe,"Central Europe, Eastern Europe, and Central Asia"
Serbia,53,SRB,3,Central Europe,"Central Europe, Eastern Europe, and Central Asia"
Slovakia,54,SVK,3,Central Europe,"Central Europe, Eastern Europe, and Central Asia"
Slovenia,55,SVN,3,Central Europe,"Central Europe, Eastern Europe, and Central Asia"
Eastern Europe,56,R9,2,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Belarus,57,BLR,3,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Estonia,58,EST,3,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Latvia,59,LVA,3,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Lithuania,60,LTU,3,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Republic of Moldova,61,MDA,3,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Russian Federation,62,RUS,3,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Altai kray,44971,RUS_44971,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Amur oblast,44983,RUS_44983,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Arkhangelsk oblast without Nenets autonomous district,44924,RUS_44924,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Astrakhan oblast,44936,RUS_44936,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Belgorod oblast,44903,RUS_44903,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Bryansk oblast,44904,RUS_44904,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Chechen Republic,44945,RUS_44945,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Chelyabinsk oblast,44966,RUS_44966,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Chukotka Autonomous Area,44987,RUS_44987,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Chuvash Republic,44952,RUS_44952,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Irkutsk oblast,44974,RUS_44974,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Ivanovo oblast,44907,RUS_44907,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Jewish autonomous oblast,44986,RUS_44986,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Kabardino-Balkar Republic,44942,RUS_44942,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Kaliningrad oblast,44926,RUS_44926,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Kaluga oblast,44908,RUS_44908,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Kamchatka kray,44980,RUS_44980,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Karachay-Cherkess Republic,44943,RUS_44943,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Kemerovo oblast,44975,RUS_44975,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Khabarovsk kray,44982,RUS_44982,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Khanty-Mansi autonomous area,44963,RUS_44963,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Kirov oblast,44954,RUS_44954,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Komi Republic,44922,RUS_44922,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Kostroma oblast,44909,RUS_44909,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Krasnodar kray,44935,RUS_44935,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Krasnoyarsk kray,44973,RUS_44973,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Kurgan oblast,44961,RUS_44961,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Kursk oblast,44910,RUS_44910,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Leningrad oblast,44927,RUS_44927,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Lipetzk oblast,44911,RUS_44911,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Magadan oblast,44984,RUS_44984,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Moscow City,44920,RUS_44920,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Moscow oblast,44912,RUS_44912,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Murmansk oblast,44928,RUS_44928,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Nenets autonomous district,44923,RUS_44923,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Nizhny Novgorod oblast,44955,RUS_44955,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Novgorod oblast,44929,RUS_44929,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Novosibirsk oblast,44976,RUS_44976,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Omsk oblast,44977,RUS_44977,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Orenburg oblast,44956,RUS_44956,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Oryol oblast,44913,RUS_44913,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Penza oblast,44957,RUS_44957,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Perm kray,44953,RUS_44953,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Primorsky kray,44981,RUS_44981,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Pskov oblast,44930,RUS_44930,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Republic of Adygeya,44932,RUS_44932,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Republic of Altai,44967,RUS_44967,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Republic of Bashkortostan,44947,RUS_44947,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Republic of Buryatia,44968,RUS_44968,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Republic of Dagestan,44940,RUS_44940,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Republic of Ingushetia,44941,RUS_44941,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Republic of Kalmykia,44933,RUS_44933,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Republic of Karelia,44921,RUS_44921,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Republic of Khakassia,44970,RUS_44970,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Republic of Mari El,44948,RUS_44948,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Republic of Mordovia,44949,RUS_44949,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Republic of North Ossetia-Alania,44944,RUS_44944,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Republic of Sakha (Yakutia),44979,RUS_44979,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Republic of Tatarstan,44950,RUS_44950,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Republic of Tuva,44969,RUS_44969,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Rostov oblast,44938,RUS_44938,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Ryazan oblast,44914,RUS_44914,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Saint Petersburg,44931,RUS_44931,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Sakhalin oblast,44985,RUS_44985,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Samara oblast,44958,RUS_44958,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Saratov oblast,44959,RUS_44959,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Smolensk oblast,44915,RUS_44915,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Stavropol kray,44946,RUS_44946,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
